ADF-SOI | ADF-SOI | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/ephemeral_test | ephemeral_test | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/ghe-jobs | Jobs for Github Enterprise | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/jira | jira | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Karthik-TestFolder | Karthik-TestFolder | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/multbranch-test | multbranch-test | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Prashanth Rajasekar | Prashanth Rajasekar | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Production_Jobs | Production_Jobs | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Sample_Pipeline_Projects | Sample_Pipeline_Projects | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Sri-Folder | Sri-Folder | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Users | Users | class com.cloudbees.hudson.plugins.folder.Folder
DivisionOfResearch | DivisionOfResearch | class com.cloudbees.hudson.plugins.folder.Folder
DnA | DnA | class com.cloudbees.hudson.plugins.folder.Folder
DnA/DevOps Standard Templates | DevOps Standard Templates | class com.cloudbees.hudson.plugins.folder.Folder
DnA/FedMBR | FedMBR | class com.cloudbees.hudson.plugins.folder.Folder
DnA/Medicare Bid | Medicare Bid | class com.cloudbees.hudson.plugins.folder.Folder
docker-ocpbaseimages-opensourceimages-pipelines | docker-ocpbaseimages-opensourceimages-pipelines | class com.cloudbees.hudson.plugins.folder.Folder
docker-ocpbaseimages-opensourceimages-pipelines/ocpbaseimages | ocpbaseimages | class com.cloudbees.hudson.plugins.folder.Folder
eps-liberty | eps-liberty | class com.cloudbees.hudson.plugins.folder.Folder
EUS-TAPA | EUS-TAPA | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS | HP-BIO-CMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS/apps-prod | Applications PROD | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS/apps | Applications | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS/datamodel-prod | Datamodel PROD | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS/datamodel | Datamodel | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS/Libraries | Libraries | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-CMS/PROD-jobs | PROD-jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMP | HP-BIO-DMP | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMP/AZ Migration TDM | AZ Migration TDM | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMP/AZ-Migration DMP | AZ-Migration DMP | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS | HP-BIO-DMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS | CARS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/BUILD Jobs | BUILD Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod) | DEPLOY Jobs (Non-Prod) | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/dev | dev | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/perf | perf | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/qa | qa | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/qa2 | qa2 | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/qa3-lte | qa3-lte | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/qa4 | qa4 | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/qa5 | qa5 | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/uat | uat | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEPLOY Jobs (Non-Prod)/uat2 | uat2 | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs | DEV - CI Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/CARS Online | CARS Online | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/Consumer | Consumer | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/Get Doc | Get Doc | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/Member WS | Member WS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/Non Member WS | Non Member WS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/Save Doc | Save Doc | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/DEV - CI Jobs/Scheduler DB | Scheduler DB | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/MISC Jobs | MISC Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/OLD JOBS | OLD JOBS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/OLD JOBS/OBSOLETE - JBOSS - NON-Prod Deployment Jobs | OBSOLETE - JBOSS - NON-Prod Deployment Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/OLD JOBS/OBSOLETE - JBOSS - NON-Prod Deployment Jobs/Consumer | Consumer | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/OLD JOBS/OBSOLETE - NON-Prod Deployment Jobs - Liberty | OBSOLETE - NON-Prod Deployment Jobs - Liberty | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/OLD JOBS/OBSOLETE - NON-Prod Deployment Jobs | OBSOLETE - NON-Prod Deployment Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/OLD JOBS/OBSOLETE - START - STOP Jobs | OBSOLETE - START - STOP Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/PROD Jobs - CAUTION | PROD Jobs - CAUTION | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/PROD Jobs - CAUTION/JBOSS - PROD Deployment Jobs | JBoss - PROD Deployment Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/PROD Jobs - CAUTION/Liberty PROD Jobs | Liberty PROD Jobs | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/PROD Jobs - CAUTION/NEW | NEW | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/CARS/Security | Security | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPAS-ARS-APPS | HPAS-ARS-APPS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPAS-ARS-APPS/CARS | CARS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPAS-ARS-APPS/CPS | CPS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPAS-ARS-APPS/HPUB | HPUB | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPAS-ARS-APPS/ICE | ICE | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPAS-ARS-APPS/PSP | PSP | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB | HPUB | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB/BUILD JOBS | BUILD JOBS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB/HPUB - NONProd - Processfulfillment Deployment | HPUB - NONProd - Processfulfillment Deployment | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB/Non-PROD-Liberty-Deployment | Non-PROD-Liberty-Deployment | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB/Non-PROD-Liberty-Start_and_Stop | Non-PROD-Liberty-Start_and_Stop | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB/PROD - DEPLOY | PROD - DEPLOY | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/HPUB/Security_Scan | Security Scan | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE-PROD | ICE-PROD | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE-PROD/Azure-Migration | Azure-Migration | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE | ICE | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/AZ-Migration | Azure Migration | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/Azure-DEV | Azure-DEV | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/Azure-PERF | Azure-PERF | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/Azure-QA | Azure-QA | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/Azure-UAT | Azure-UAT | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/Azure-Utilities | Azure-Utilities | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/ICE/Azure-Utilities/New-Automation-Pipelines | New-Automation-Pipelines | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/MEC | MEC | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/PSP | PSP | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC-PROD | RDC-PROD | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC | RDC | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC/NAS_Mount_Folder | NAS_Mount_Folder | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC/RDC_SERVER_PID_COUNT | RDC_SERVER_PID_COUNT | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC/Restart_Scaler_Interactive_Environments_From_Scaler_Workflow | Restart_Scaler_Interactive_Environments_From_Scaler_Workflow | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC/SSDM | SSDM | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-DMS/RDC/Stop_Start_All_Scaler_Interactive_Environments_Jobs_Folder | Stop_Start_All_Scaler_Interactive_Environments_Jobs_Folder | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS | HP-BIO-EBSS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/CCPE | CCPE | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/CCPE/development | development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/CCPE/devops_release | DevOps Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/CCPE/Velocity | Velocity | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/commercialbilling | Commercial Billing SS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/commercialbilling/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/commercialbilling/Devops_Release | DevOps Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/COVID-21 | COVID-21 | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/COVID-21/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/COVID-21/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/COVID-21/Velocity | Velocity | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/Develop | Develop | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/devops_poc | Brian POC | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/devops_poc/shared_lib_testing | Shared library testing | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/devops_poc/Testing_Job | Testing JOb | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/EBSS-Utilities | EBSS-Utilities | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/EBSS-Utilities/POC | POC | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/ebss | EBSS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/ebss/development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/ebss/devops_release | DevOps Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/ebss/Velocity | Velocity | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/gusto_cpa | Gusto / CPA | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/gusto_cpa/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/gusto_cpa/devops_release | DevOps Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/medicare | Medicare | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/medicare/development | Develop | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/medicare/devops_release | Devops Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/medicare/Velocity | Velocity | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/POC | POC | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/Smoke Test | Smoke Test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/Smoke Test/Smoke_QA_API | Smoke_QA_API | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-EBSS/sstest | sstest | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC | HP-BIO-KPMC | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/AutoSQLDeployment | AutoSQLDeployment | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/AutoSQLDeployment/DryRun | DryRun | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/AutoSQLDeployment/Release_Automation_Liquibase | Release_Automation_Liquibase | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF | KPIF-OFF | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCCAM | KPMCCAM | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCCAM/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCCAM/Development_Obsolated | Development_Obsolated | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCCAM/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCCAM/DevOps_Release_obsolate | DevOps_Release_obsolate | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCDMS | KPMCDMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCDMS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCDMS/Development/KPMC_KPIFOFF_ON_TestAutomation | KPMC_KPIFOFF_ON_TestAutomation | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCDMS/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCDMS/KPIF-ON-DMS | KPIF-ON-DMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCDMS/KPIF-ON-DMS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCGSU | KPMCGSU | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCGSU/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCGSU/Devops_Release | Devops_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCIntLayer | KPMCIntLayer | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCIntLayer/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCIntLayer/Devops_Release | Devops_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCSS | KPMCSS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCSS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCSS/Devops_Release | Devops_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCUserAuth | KPMCUserAuth | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCUserAuth/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-OFF/KPMCUserAuth/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON | KPIF-ON | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/BinderPayments | BinderPayments | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/BinderPayments/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/BinderPayments/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/IBM-Demo | IBM-Demo | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient | KPIF-ON obsolete | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/il-fw-splunk-logclient | il-fw-splunk-logclient | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/kpmc_cert_utility | azure-secrets-management | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCCAM | KPMCCAM | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCCAM/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCCAM/Development/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCCAM/Development/smoke_test | smoke_test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCCAM/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS | KPMCDMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS/Development/smoke_test | Smoke_test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS/DevOps_Release/XXTest_job | XXTest_job | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS/KPIF-ON-DMS | KPIF-ON-DMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCDMS/KPIF-ON-DMS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCGSU | KPMCGSU | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCGSU/Development | Development  | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCGSU/Development/Regression | Regression | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCGSU/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCGSU/Obsolated | Obsolated | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCIntLayer | KPMCIntLayer | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCIntLayer/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCIntLayer/Development/Regression | Regression | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCIntLayer/Development/smoke_test | smoke_test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCIntLayer/Development/smoke_test_service_level | smoke_test_service_level | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCIntLayer/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCSS | KPMCSS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCSS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCSS/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCUserAuth | KPMCUserAuth | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCUserAuth/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCUserAuth/Development/Regression | Regression | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCUserAuth/Development/smoke_test | smoke_test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/KPMCUserAuth/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/SelfService | SelfService | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/SelfService/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/SelfService/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/il-fw-splunk-logclient/utilities | utilities | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/kpmc_cert_utility | azure-secrets-management | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCCAM | KPMCCAM | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCCAM/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCCAM/Development/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCCAM/Development/smoke_test | smoke_test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCCAM/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS | KPMCDMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS/Development/smoke_test | Smoke_test | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS/DevOps_Release/XXTest_job | XXTest_job | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS/KPIF-ON-DMS | KPIF-ON-DMS | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCDMS/KPIF-ON-DMS/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCGSU | KPMCGSU | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCGSU/Development | Development  | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCGSU/Development/Regression | Regression | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCGSU/DevOps_Release | DevOps_Release | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCGSU/Obsolated | Obsolated | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCGSU/Velocity | Velocity | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCIntLayer | KPMCIntLayer | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCIntLayer/Development | Development | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCIntLayer/Development/OCP | OCP | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCIntLayer/Development/OCP/_to-be-deleted | _to-be-deleted | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCIntLayer/Development/OCP/_to-be-regrouped | _to-be-regrouped | class com.cloudbees.hudson.plugins.folder.Folder
HP-BIO-KPMC/KPIF-ON/KPMCIntLayer/Development/OCP/aci | aci | class com.cloudbees.hudson.plugins.folder.Folder
